"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","Update - PUT /pet","","Sun May 11 21:45:50 CEST 2025","passed","Sun May 11 21:45:50 CEST 2025","CRUD for /pet","crudPetApi.spec.ts","",""
"","90","Create - POST /pet","","Sun May 11 21:45:50 CEST 2025","passed","Sun May 11 21:45:50 CEST 2025","CRUD for /pet","crudPetApi.spec.ts","",""
"","19","Read - GET /pet/{id}","","Sun May 11 21:45:50 CEST 2025","passed","Sun May 11 21:45:50 CEST 2025","CRUD for /pet","crudPetApi.spec.ts","",""
"","17","Delete - DELETE /pet/{id}","","Sun May 11 21:45:50 CEST 2025","passed","Sun May 11 21:45:50 CEST 2025","CRUD for /pet","crudPetApi.spec.ts","",""
